timestamp,stream_id,last_frame_age
1769623451,cnn_internacional,30
1769623451,bonvoy_tv,30
1769623451,cnn_espanhol,30
1769623451,canal_hotel,30
1769623451,GLOBO,1
1769623461,cnn_internacional,30
1769623461,bonvoy_tv,30
1769623461,cnn_espanhol,30
1769623461,canal_hotel,30
1769623461,GLOBO,1
1769623471,cnn_internacional,30
1769623471,bonvoy_tv,30
1769623471,cnn_espanhol,30
1769623471,canal_hotel,30
1769623471,GLOBO,1
1769623481,cnn_internacional,30
1769623481,bonvoy_tv,30
1769623481,cnn_espanhol,30
1769623481,canal_hotel,30
1769623481,GLOBO,1
1769623491,cnn_internacional,30
1769623491,bonvoy_tv,30
1769623491,cnn_espanhol,30
1769623491,canal_hotel,30
1769623491,GLOBO,0
1769623501,cnn_internacional,30
1769623501,bonvoy_tv,30
1769623501,cnn_espanhol,30
1769623501,canal_hotel,30
1769623501,GLOBO,1
1769623511,cnn_internacional,30
1769623511,bonvoy_tv,30
1769623511,cnn_espanhol,30
1769623511,canal_hotel,30
1769623511,GLOBO,1
1769623521,cnn_internacional,30
1769623521,bonvoy_tv,30
1769623521,cnn_espanhol,30
1769623521,canal_hotel,30
1769623521,GLOBO,1
1769623531,cnn_internacional,30
1769623531,bonvoy_tv,30
1769623531,cnn_espanhol,30
1769623531,canal_hotel,30
1769623531,GLOBO,1
1769623541,cnn_internacional,30
1769623541,bonvoy_tv,30
1769623541,cnn_espanhol,30
1769623541,canal_hotel,30
1769623541,GLOBO,1
1769623551,cnn_internacional,30
1769623551,bonvoy_tv,30
1769623551,cnn_espanhol,30
1769623551,canal_hotel,30
1769623551,GLOBO,1
1769623561,cnn_internacional,30
1769623561,bonvoy_tv,30
1769623561,cnn_espanhol,30
1769623561,canal_hotel,30
1769623561,GLOBO,1
1769623571,cnn_internacional,30
1769623571,bonvoy_tv,30
1769623571,cnn_espanhol,30
1769623571,canal_hotel,30
1769623571,GLOBO,0
1769623581,cnn_internacional,30
1769623581,bonvoy_tv,30
1769623581,cnn_espanhol,30
1769623581,canal_hotel,30
1769623581,GLOBO,1
1769623591,cnn_internacional,30
1769623591,bonvoy_tv,30
1769623591,cnn_espanhol,30
1769623591,canal_hotel,30
1769623591,GLOBO,1
1769623601,cnn_internacional,30
1769623601,bonvoy_tv,30
1769623601,cnn_espanhol,30
1769623601,canal_hotel,30
1769623601,GLOBO,1
1769623611,cnn_internacional,30
1769623611,bonvoy_tv,30
1769623611,cnn_espanhol,30
1769623611,canal_hotel,30
1769623611,GLOBO,1
1769623621,cnn_internacional,30
1769623621,bonvoy_tv,30
1769623621,cnn_espanhol,30
1769623621,canal_hotel,30
1769623621,GLOBO,0
1769623631,cnn_internacional,30
1769623631,bonvoy_tv,30
1769623631,cnn_espanhol,30
1769623631,canal_hotel,30
1769623631,GLOBO,1
1769623641,cnn_internacional,30
1769623641,bonvoy_tv,30
1769623641,cnn_espanhol,30
1769623641,canal_hotel,30
1769623641,GLOBO,1
1769623651,cnn_internacional,30
1769623651,bonvoy_tv,30
1769623651,cnn_espanhol,30
1769623651,canal_hotel,30
1769623651,GLOBO,0
1769623661,cnn_internacional,30
1769623661,bonvoy_tv,30
1769623661,cnn_espanhol,30
1769623661,canal_hotel,30
1769623661,GLOBO,1
1769623671,cnn_internacional,30
1769623671,bonvoy_tv,30
1769623671,cnn_espanhol,30
1769623671,canal_hotel,30
1769623671,GLOBO,0
1769623681,cnn_internacional,30
1769623681,bonvoy_tv,30
1769623681,cnn_espanhol,30
1769623681,canal_hotel,30
1769623681,GLOBO,1
1769623691,cnn_internacional,30
1769623691,bonvoy_tv,30
1769623691,cnn_espanhol,30
1769623691,canal_hotel,30
1769623691,GLOBO,1
